id,description
1,"Antyrama o wymiarach 40 cm x 60 cm, wykonana z plexi, plecy z plyty HDF, z zamocowanymi hakami zarówno w pionie jak i poziomie, boki pokryte biala farba, 8 klipsów mocujacych, dociskajacych tworzywo do plyty"
2,"Antyrama o wymiarach 100 cm x 70 cm, wykonana z plexi, plecy z plyty HDF , z zamocowanymi hakami zarówno w pionie jaki poziomie, boki pokryte biala farba, 14klipsów mocujacych, dociskajacych tworzywo do plyty"
3,"Atrament do pióra wiecznego 30 ml, Pelikan, niebieski, czarny"
4,"Atrament do pióra wiecznego 50ml, Waterman, niebieski, czarny"
5,"Bibula w rolkach, marszczona, karbowanie 60%, szer. 50 cm x dl. 250 cm, gramatura 32g/m2, (rózne kolory)"
6,"Blok biurowy z perforacja A4 80 kartek w kratke, szyty i klejony po krótszym boku, mikroperforacja ulatwiajaca wyrywanie kartek, przód i tyl okladki wykonany z laminowanego kartonu, dziurki umozliwiajace wpiecie kartek do segregatora, bigowanie ulatwiajace odginanie okladki"
7,"Blok biurowy z perforacja A5/80 w kratke, szyty i klejony po krótszym boku, mikroperforacja ulatwiajaca wyrywanie kartek, przód i tyl okladki wykonany z laminowanego kartonu, dziurki umozliwiajace wpiecie kartek do segregatora, bigowanie ulatwiajace odginanie okladki"
8,"Blok rysunkowy bialy, format A4, liczba kartek 20, przód i tyl okladki wykonany z laminowanego kartonu, klejony po krótszym boku, gramatura 90 g/m2"
9,"Blok techniczny bialy, format A4, liczba kartek 10, przód i tyl okladki wykonany z laminowanego kartonu, klejony po krótszym boku, gramatura 180 g/m2"
10,"Bolce do dziurkacza archiwizacyjnego HP 2- dl. bolca 56mm, srednica dziurkujaca - 6mm"
11,"Brulion w kratke,format A4, liczba kartek 96, zszywany, okladka laminowana, grzbiet wzmocniony, gramatura 55 g/m2"
12,"Brulion B5 w kratke, liczba kartek 96, zszywany, okladka laminowana, grzbiet wzmocniony,55g/m2"
13,"Brystol B1 bialy gramatura 250 g/m², kolor bialy,"
14,"Brystol B1 kolor gramatura 250 g/m², kolor mix"
15,"Chusteczki czyszczace do ekranów sciereczki nasaczone preparatem bezalkoholowym, przeznaczone do czyszczenia ekranów, monitorów TFT/LCD, antystatyczne, szybkoschnace, w tubie 100 szt."
16,"Cienkopis ekonomiczny w uzyciu, odporny na wysychanie tusz, obudowa plastikowa, z plastikowa koncówka oprawiona w metal, skuwka wentylowana, grubosc linii 0,4 mm"
17,"Dlugopis automatyczny Zenith, z wymiennym metalowym wkladem, obudowa z tworzywa sztucznego, ozdobiony metalowym klipsem, obraczka oraz okuwa, klips i wykonczenie niklowe, grubosc linii 0,6 - 0,7 mm, dlugosc linii pisania 2 500 m, tusz w kolorze niebieskim"
18,"Dlugopis z obudowa plastikowa, z niewymiennym wkladem z koncówka 0,7 mm dlugosc linii pisania 3000 m, w róznych kolorach: niebieski, czarny, czerwony, zielony"
19,"Dlugopis automatyczny z wymiennym wkladem olejowym, z wygodnym, specjalnie zaprojektowanym gumowym uchwytem, z automatycznie chowanym wkladem, linia pisania 1200 m, grubosc linii 0,27 mm-0,33 wzaleznosci od sily nacisku , w kolorach: czarny, czerwony, niebieski, zielony"
20,"Dlugopis na sprezynce d.rect lezacy AT-15"
21,"Dlugopis (niebieski, czarny, czerwony, zielony) zelowy z wymiennym wkladem, obudowa przezroczysta, koncówka ze wzmocnionej stali, ze skuwka, grubosc linii od 0,27 mm do 0,35 mm (w zaleznosci od sily nacisku) dlugosc linii pisania 1000 m"
22,"Druki KP, druk dowodu wplaty, format A6 (80 kart)"
23,"Dyskietki omega formatowane 3,5, - 1.44MB. Opakowanie kartonowe ,"
24,"Dziurkacz na dwie dziurki,metalowy mechanizm, metalowa obudowa, plastikowa podstawa antyposlizgowa, posiada ogranicznik formatu, odstep miedzy dziurkami 8 cm, do 40 kartek 5 lat gwarancji,"
25,"Etykiety samoprzylepne o wymiarach 38 x 21,2 mm, wspólpracujacymi ze wszystkimi rodzajami drukarek, op. 100 arkuszy, front 70 g/m², podklad 52 g/m², stopien bieli 98 %, zawierajace krawedzie bezpieczenstwa zapobiegajace odkladaniu sie kleju na mechanizmie drukarki"
26,"Etykiety samoprzylepne o wymiarach 52,5 x 29,6 mm, wspólpracujacymi ze wszystkimi rodzajami drukarek, op. 100 arkuszy, front 70 g/m², podklad 52 g/m², stopien bieli 98 %, zawierajace krawedzie bezpieczenstwa zapobiegajace odkladaniu sie kleju na mechanizmie drukarki"
27,"Etykiety samoprzylepne o wymiarach 70 x 32 mm, wspólpracujacymi ze wszystkimi rodzajami drukarek, op. 100 arkuszy, front 70 g/m², podklad 52 g/m², stopien bieli 98 %, zawierajace krawedzie bezpieczenstwa zapobiegajace odkladaniu sie kleju na mechanizmie drukarki"
28,"Etykiety samoprzylepne o wymiarach 70 x 37 mm, wspólpracujacymi ze wszystkimi rodzajami drukarek, op. 100 arkuszy, front 70 g/m², podklad 52 g/m², stopien bieli 98 %, zawierajace krawedzie bezpieczenstwa zapobiegajace odkladaniu sie kleju na mechanizmie drukarki"
29,"Etykiety samoprzylepne o wymiarach 105 x 42,4 mm, wspólpracujacymi ze wszystkimi rodzajami drukarek, op. 100 arkuszy, front 70 g/m², podklad 52 g/m², stopien bieli 98 %, zawierajace krawedzie bezpieczenstwa zapobiegajace odkladaniu sie kleju na mechanizmie drukarki"
30,"Etykiety samoprzylepne o wymiarach 105 x 48 mm, wspólpracujacymi ze wszystkimi rodzajami drukarek, op. 100 arkuszy, front 70 g/m², podklad 52 g/m², stopien bieli 98 %, zawierajace krawedzie bezpieczenstwa zapobiegajace odkladaniu sie kleju na mechanizmie drukarki"
31,"Etykiety samoprzylepne o wymiarach 105 x 57 mm, wspólpracujacymi ze wszystkimi rodzajami drukarek, op. 100 arkuszy, front 70 g/m², podklad 52 g/m², stopien bieli 98 %, zawierajace krawedzie bezpieczenstwa zapobiegajace odkladaniu sie kleju na mechanizmie drukarki"
32,"Etykiety samoprzylepne o wymiarach 105 x 74 mm, wspólpracujacymi ze wszystkimi rodzajami drukarek, op. 100 arkuszy, front 70 g/m², podklad 52 g/m², stopien bieli 98 %, zawierajace krawedzie bezpieczenstwa zapobiegajace odkladaniu sie kleju na mechanizmie drukarki"
33,"Etykiety samoprzylepne o wymiarach 210 x 297 mm, wspólpracujacymi ze wszystkimi rodzajami drukarek, op. 100 arkuszy, front 70 g/m², podklad 52 g/m², stopien bieli 98 %, zawierajace krawedzie bezpieczenstwa zapobiegajace odkladaniu sie kleju na mechanizmie drukarki"
34,"Etykiety samoprzylepne kolorowe o wymiarach 210 x 297 mm, wspólpracujacymi ze wszystkimi rodzajami drukarek, op=25 arkuszy, (zielone, czerwone, niebieskie, zólte)"
35,"Farby akwarelowe 12 kolorów, rozpuszczalne w wodzie, w postaci sprasowanych guziczków"
36,"Farby plakatowe 12 kolorów , 20 ml w sloiczkach"
37,"Flamastry nie wysychajace, pojedyncze, wyrazny tusz, srednica koncówki 1,8 mm, w róznych kolorach: czarny, czerwony, zielony, niebieski"
38,"Tablica blat suchoscieralny - magnetyczny, wzmocniony plyta, sprezynujacy docisk papieru o formacie 70 x 100 cm*, regulacja kata pochylenia tablicy, rama aluminiowa, trójnozny stojak z regulacja wysokosci, maksymalna wysokosc 186 cm, pólka na akcesoria"
39,"Folia do drukarek atramentowych, format A4, op. 50 szt."
40,"Folia do drukarek laserowych, format A4, op. 50 szt."
41,"Folia do kserokopiarek, format A4, op. 100 szt."
42,"Folia do kserokopiarek kolorowych, format A4, op. 100 szt."
43,"Folia do laminowania, antystatyczna, sztywna, krystalicznie przejrzysta, blyszczaca, format A4, o wymiarach 216 x 303 mm, gramatura 100 mic, op.100 szt."
44,"Foliopis, marker do pisania po kazdej powierzchni równiez gladkiej, wodoodporny, szybkoschnacy, bezzapachowy atrament na bazie alkoholu, odporny na scieranie i blakniecia, grubosc linii S - 0,4 mm; F- 0,6 mm*; M - 1,0 mm, w róznych kolorach: zielony, czerwony, czarny, niebieski"
45,"Gabka do tablic suchoscieralnych, wewnetrzna warstwa magnetyczna umozliwiajaca przytwierdzenie do tablic magnetycznych, spód wykonczony filcem, nie rysujaca tablic, o wymiarach 110x57x24mm"
46,"Gabka do tablicy zwyklej o wymiarach 16cm x 11cm x 4"
47,"Grzbiety do bindowania, plastikowe, o wymiarze 6 mm (rózne kolory), op. 100 szt"
